	US_TYPE	US_NAME	EXE_PRICE	EXE_ENDDATE	US_CODE	OPEN	HIGH	LOW	CLOSE	VWAP	VOLUME	AMT	OI_CHG	SETTLE	DELTA	GAMMA	VEGA	THETA	RHO	VOLATILITYRATIO	US_IMPLIEDVOL
2019/3/4	ETF期权	50ETF	2.2	2019/9/25	510050	0.0176	0.0209	0.0161	0.0169	0.017678092	6728	1189382	1339	0.0169	-0.05634968	0.232088689	0.002392138	-0.045134545	-0.000961416	195.6893941	0.248422864
2019/3/5	ETF期权	50ETF	2.2	2019/9/25	510050	0.0173	0.0195	0.0161	0.018	0.01806838	1537	277711	-211	0.018	-0.056095904	0.232539071	0.00237613	-0.044954971	-0.000951329	194.8256596	0.252377283
2019/3/6	ETF期权	50ETF	2.2	2019/9/25	510050	0.0191	0.028	0.0182	0.021	0.020066998	1812	363614	-152	0.021	-0.053756739	0.225361533	0.002297542	-0.043611249	-0.00090862	201.1946977	0.264899609
2019/3/7	ETF期权	50ETF	2.2	2019/9/25	510050	0.0203	0.0229	0.0202	0.0222	0.02188774	2447	535593	-292	0.0222	-0.067064105	0.269775597	0.002679768	-0.051577507	-0.00111331	199.1340627	0.257210461
2019/3/8	ETF期权	50ETF	2.2	2019/9/25	510050	0.0235	0.0398	0.023	0.0347	0.030603315	3680	1126202	13	0.0347	-0.104728841	0.378354926	0.003602809	-0.071549301	-0.00168561	245.7320221	0.264570074
2019/3/11	ETF期权	50ETF	2.2	2019/9/25	510050	0.0349	0.0349	0.0195	0.0221	0.026055867	5071	1321293	-766	0.0221	-0.09804347	0.361107296	0.003427157	-0.069336625	-0.001560301	275.3884235	0.236486377
2019/3/12	ETF期权	50ETF	2.2	2019/9/25	510050	0.021	0.0284	0.0196	0.0271	0.023928586	2970	710679	122	0.0271	-0.093476026	0.348423153	0.003314092	-0.067395022	-0.001484455	279.274207	0.254720642
2019/3/13	ETF期权	50ETF	2.2	2019/9/25	510050	0.0271	0.0303	0.027	0.0293	0.028665915	2262	648423	327	0.0293	-0.088510382	0.339770932	0.003180366	-0.064064416	-0.001397667	275.8394494	0.2629224
2019/3/14	ETF期权	50ETF	2.2	2019/9/25	510050	0.031	0.034	0.0287	0.0303	0.030550299	2171	663247	363	0.0303	-0.086562478	0.334843895	0.003124608	-0.063252531	-0.001361044	271.4703355	0.267426044
2019/3/15	ETF期权	50ETF	2.2	2019/9/25	510050	0.029	0.0298	0.0201	0.0293	0.028667261	3424	981567	135	0.0293	-0.076639274	0.302881029	0.002874637	-0.05871435	-0.00120955	266.9477903	0.274016742
2019/3/18	ETF期权	50ETF	2.2	2019/9/25	510050	0.0298	0.0299	0.0242	0.0257	0.026408474	3021	797800	435	0.0257	-0.059375411	0.239394704	0.002403367	-0.051245925	-0.000944337	264.5239994	0.285623694
2019/3/19	ETF期权	50ETF	2.2	2019/9/25	510050	0.0287	0.0293	0.0261	0.0291	0.027386764	2327	637290	175	0.0291	-0.065065206	0.258874236	0.002554297	-0.05487406	-0.001022725	263.4486833	0.290420258
2019/3/20	ETF期权	50ETF	2.2	2019/9/25	510050	0.0299	0.0307	0.0236	0.0248	0.02694193	2280	614276	829	0.0248	-0.062870406	0.253571078	0.002484044	-0.053439281	-0.000983375	262.3292229	0.279252686
2019/3/21	ETF期权	50ETF	2.2	2019/9/25	510050	0.0249	0.026	0.023	0.0245	0.024259721	4017	974513	-53	0.0245	-0.064073949	0.260560074	0.002505299	-0.053852651	-0.000992883	258.4538746	0.276177026
2019/3/22	ETF期权	50ETF	2.2	2019/9/25	510050	0.024	0.0256	0.0233	0.0239	0.024609105	2493	613505	-124	0.0239	-0.065518463	0.266388961	0.002535865	-0.054780676	-0.001007452	254.7370135	0.273101367
2019/3/25	ETF期权	50ETF	2.2	2019/9/25	510050	0.0259	0.0299	0.024	0.0288	0.027058381	3162	855586	566	0.0288	-0.091263158	0.346882857	0.003147759	-0.070328571	-0.001352003	256.9451312	0.268048499
2019/3/26	ETF期权	50ETF	2.2	2019/9/25	510050	0.0274	0.0299	0.0254	0.0279	0.02723039	2152	585998	156	0.0279	-0.0934971	0.357055717	0.00318405	-0.071172415	-0.001372164	253.4841173	0.26306886
2019/3/27	ETF期权	50ETF	2.2	2019/9/25	510050	0.0268	0.0268	0.0225	0.0229	0.023862954	2146	512099	402	0.0229	-0.081282516	0.320994737	0.002893115	-0.064802595	-0.001196364	254.3537122	0.257942761
2019/3/28	ETF期权	50ETF	2.2	2019/9/25	510050	0.0229	0.0235	0.017	0.0173	0.019955915	3770	752338	1064	0.0173	-0.081194759	0.324554252	0.002877512	-0.06436674	-0.001185323	259.4110916	0.238317126
2019/3/29	ETF期权	50ETF	2.2	2019/9/25	510050	0.0172	0.0172	0.0118	0.0119	0.013537766	7888	1067859	2413	0.0119	-0.059243463	0.237069374	0.002334865	-0.055091294	-0.000890553	270.223208	0.243882605
2019/4/1	ETF期权	50ETF	2.2	2019/9/25	510050	0.0117	0.0151	0.0085	0.0125	0.012749919	5589	712593	788	0.0125	-0.047101262	0.194379815	0.001967871	-0.047722139	-0.000707594	267.7114108	0.26226333
2019/4/2	ETF期权	50ETF	2.2	2019/9/25	510050	0.0126	0.0288	0.0119	0.0128	0.01289879	2148	277066	330	0.0128	-0.046583614	0.19399966	0.001943634	-0.047233706	-0.000694955	264.8667283	0.26387439
2019/4/3	ETF期权	50ETF	2.2	2019/9/25	510050	0.0135	0.0153	0.0131	0.0146	0.014261818	2729	389205	603	0.0146	-0.040969037	0.173514986	0.001764964	-0.043250638	-0.000612852	264.6833416	0.279838525
