	US_TYPE	US_NAME	EXE_PRICE	EXE_ENDDATE	US_CODE	OPEN	HIGH	LOW	CLOSE	VWAP	VOLUME	AMT	OI_CHG	SETTLE	DELTA	GAMMA	VEGA	THETA	RHO	VOLATILITYRATIO	US_IMPLIEDVOL
2019/4/4	ETF期权	50ETF	2.2	2019/9/25	510050	0.0133	0.0167	0.0133	0.0147	0.015073123	3237	487917	-410	0.0147	-0.03480163	0.149958518	0.001560678	-0.038653941	-0.000523466	261.7909113	0.290456873
2019/4/8	ETF期权	50ETF	2.2	2019/9/25	510050	0.015	0.0181	0.0098	0.0158	0.015127593	4396	665009	-102	0.0158	-0.031670488	0.14160039	0.001429311	-0.035924306	-0.000464885	259.9167616	0.29946416
2019/4/9	ETF期权	50ETF	2.2	2019/9/25	510050	0.0162	0.0175	0.0155	0.0167	0.016478511	5184	854246	659	0.0167	-0.030535688	0.137504243	0.001385542	-0.035064618	-0.000446251	257.7564896	0.305688708
2019/4/10	ETF期权	50ETF	2.2	2019/9/25	510050	0.0164	0.0175	0.0148	0.0162	0.015945071	3155	503067	41	0.0162	-0.027116173	0.12554379	0.001257914	-0.031734993	-0.000395149	255.0042577	0.308105298
2019/4/11	ETF期权	50ETF	2.2	2019/9/25	510050	0.016	0.018	0.015	0.0166	0.016535318	4584	757979	285	0.0166	-0.035883535	0.159268653	0.001553435	-0.039900107	-0.00051247	252.5710406	0.297633411
2019/4/12	ETF期权	50ETF	2.2	2019/9/25	510050	0.0169	0.0176	0.0139	0.0154	0.015969281	4131	659691	206	0.0154	-0.036353147	0.161855686	0.00156213	-0.040304033	-0.000514949	250.254705	0.291921472
2019/4/15	ETF期权	50ETF	2.2	2019/9/25	510050	0.0141	0.0149	0.0111	0.0124	0.012880541	3880	499765	872	0.0124	-0.035095397	0.158884328	0.001503921	-0.039496327	-0.000487617	251.4176897	0.280424365
2019/4/16	ETF期权	50ETF	2.2	2019/9/25	510050	0.0127	0.0129	0.01	0.0117	0.01149692	4058	466545	420	0.0117	-0.024460415	0.110783214	0.001149975	-0.031453192	-0.00034907	249.0306521	0.302613049
2019/4/17	ETF期权	50ETF	2.2	2019/9/25	510050	0.0118	0.0126	0.0107	0.0111	0.011479899	3552	407766	611	0.0111	-0.025343835	0.114753035	0.001176722	-0.032318166	-0.0003582	246.6817414	0.297999561
2019/4/18	ETF期权	50ETF	2.2	2019/9/25	510050	0.0119	0.0128	0.011	0.0121	0.011802725	1798	212213	-35	0.0121	-0.025860028	0.117918224	0.001189052	-0.032762259	-0.000361906	245.6030171	0.30180752
2019/4/19	ETF期权	50ETF	2.2	2019/9/25	510050	0.0121	0.0127	0.0104	0.0105	0.01130652	2408	272261	400	0.0105	-0.021054261	0.098769973	0.001009358	-0.027901721	-0.000295747	244.5651503	0.302613049
2019/4/22	ETF期权	50ETF	2.2	2019/9/25	510050	0.0103	0.013	0.0103	0.0112	0.011673496	4988	582274	1025	0.0112	-0.029867573	0.133920949	0.001310986	-0.037602233	-0.000404197	243.1374547	0.293532532
2019/4/23	ETF期权	50ETF	2.2	2019/9/25	510050	0.0118	0.0118	0.0102	0.0112	0.010786084	2702	291440	1069	0.0112	-0.028675125	0.129860945	0.001265432	-0.036487215	-0.000385947	241.023847	0.295656201
2019/4/24	ETF期权	50ETF	2.2	2019/9/25	510050	0.0111	0.0116	0.0102	0.0108	0.011004517	3033	333767	223	0.0108	-0.028323171	0.129938917	0.001246344	-0.035960573	-0.000377829	238.9089934	0.293093152
2019/4/25	ETF期权	50ETF	2.2	2019/9/25	510050	0.0108	0.0115	0.0079	0.0089	0.009215713	4245	391207	1562	0.0089	-0.035647653	0.158489336	0.00147939	-0.043314059	-0.000466523	239.3350307	0.271709998
2019/4/26	ETF期权	50ETF	2.2	2019/9/25	510050	0.009	0.0103	0.0084	0.0093	0.008951457	3362	300948	240	0.0093	-0.040828035	0.179685997	0.001628429	-0.047924628	-0.000525433	237.7759482	0.266657129
2019/4/29	ETF期权	50ETF	2.2	2019/9/25	510050	0.0088	0.0095	0.0066	0.0072	0.007517427	5698	428343	1484	0.0072	-0.033165746	0.150526637	0.001379644	-0.041644877	-0.000423235	237.3418508	0.265924829
2019/4/30	ETF期权	50ETF	2.2	2019/9/25	510050	0.0068	0.0069	0.0048	0.0058	0.005671774	4092	232089	345	0.0058	-0.031803178	0.145553356	0.001331418	-0.040522021	-0.000403829	237.6913435	0.257869531
2019/5/6	ETF期权	50ETF	2.2	2019/9/25	510050	0.0065	0.015	0.0063	0.0107	0.010943833	9810	1073590	-3840	0.0107	-0.068337647	0.268147939	0.002291205	-0.077735606	-0.000802747	272.0284029	0.257942761
2019/5/7	ETF期权	50ETF	2.2	2019/9/25	510050	0.0107	0.0107	0.0074	0.0081	0.008707939	4119	358680	599	0.0081	-0.066946106	0.264640726	0.00224954	-0.076895053	-0.000781228	276.3384377	0.244688135
2019/5/8	ETF期权	50ETF	2.2	2019/9/25	510050	0.009	0.011	0.008	0.01	0.00935126	3016	282034	290	0.01	-0.080630016	0.308773264	0.002542415	-0.087978052	-0.000922067	280.0112221	0.243809375
2019/5/9	ETF期权	50ETF	2.2	2019/9/25	510050	0.0102	0.015	0.0099	0.0144	0.012728579	7614	969154	-1176	0.0144	-0.102599016	0.373860396	0.002963866	-0.10427846	-0.001145488	289.0938122	0.247763794
2019/5/10	ETF期权	50ETF	2.2	2019/9/25	510050	0.0131	0.017	0.0104	0.0119	0.012944105	9169	1186845	-1102	0.0119	-0.075841132	0.284077606	0.002437737	-0.088732182	-0.000865927	289.1935026	0.264753149
2019/5/13	ETF期权	50ETF	2.2	2019/9/25	510050	0.013	0.0142	0.0124	0.013	0.013430461	4038	542322	263	0.013	-0.091756001	0.334661607	0.002730072	-0.102301056	-0.001008685	289.4718444	0.257210461
2019/5/14	ETF期权	50ETF	2.2	2019/9/25	510050	0.0138	0.0163	0.0125	0.0136	0.013895861	4059	564033	642	0.0136	-0.096923416	0.352045306	0.002814429	-0.106151108	-0.001051643	289.2075245	0.255526172
2019/5/15	ETF期权	50ETF	2.2	2019/9/25	510050	0.0128	0.0128	0.01	0.0107	0.010794028	4454	480766	143	0.0107	-0.079462038	0.295847153	0.00246871	-0.095050277	-0.0008712	292.8406826	0.259480591
2019/5/16	ETF期权	50ETF	2.2	2019/9/25	510050	0.0104	0.0107	0.0079	0.0091	0.008847142	4758	420947	17	0.0091	-0.075036011	0.285278387	0.002362285	-0.09111686	-0.000817671	293.815496	0.253988342
2019/5/17	ETF期权	50ETF	2.2	2019/9/25	510050	0.0093	0.011	0.0085	0.0107	0.009917796	3866	383422	247	0.0107	-0.091855163	0.336707388	0.002689499	-0.10516086	-0.000978756	295.5589891	0.248642554
2019/5/20	ETF期权	50ETF	2.2	2019/9/25	510050	0.0105	0.0114	0.0086	0.0098	0.00997395	3213	320463	-30	0.0098	-0.09634848	0.359568905	0.002729601	-0.108118557	-0.000993204	295.0919367	0.238976196
2019/5/21	ETF期权	50ETF	2.2	2019/9/25	510050	0.0097	0.0101	0.0077	0.0091	0.008795444	3556	312766	-108	0.0091	-0.085692711	0.331636024	0.002513726	-0.099463737	-0.000881083	294.7845442	0.242930615
2019/5/22	ETF期权	50ETF	2.2	2019/9/25	510050	0.0088	0.0099	0.0075	0.0085	0.008414403	3784	318401	-405	0.0085	-0.089411858	0.345109141	0.002572123	-0.102500648	-0.000908098	294.7399404	0.236486377
2019/5/23	ETF期权	50ETF	2.2	2019/9/25	510050	0.0085	0.0093	0.0077	0.0087	0.008526205	5541	472437	1386	0.0087	-0.101045186	0.382330877	0.002770283	-0.111478597	-0.001008133	289.9162516	0.228577539
2019/5/24	ETF期权	50ETF	2.2	2019/9/25	510050	0.008	0.0091	0.0075	0.0083	0.008375793	1954	163663	111	0.0083	-0.095101614	0.365316916	0.002653102	-0.107787117	-0.000944839	288.4185948	0.231433508
2019/5/27	ETF期权	50ETF	2.2	2019/9/25	510050	0.0081	0.0092	0.0075	0.0086	0.008341338	2736	228219	-383	0.0083	-0.083331699	0.334829205	0.002395675	-0.09913404	-0.000811705	288.5683314	0.243296765
2019/5/28	ETF期权	50ETF	2.2	2019/9/25	510050	0.0081	0.0084	0.0076	0.0081	0.008009054	983	78729	96	0.0081	-0.051907711	0.267401071	0.00166509	-0.06008239	-0.00049655	288.5468674	0.246885034
2019/5/29	ETF期权	50ETF	2.2	2019/9/25	510050	0.0079	0.0086	0.0064	0.0075	0.007461439	2155	160794	224	0.0075	-0.042816881	0.236240217	0.001428802	-0.05044217	-0.000406736	287.4277875	0.248496094
2019/5/30	ETF期权	50ETF	2.2	2019/9/25	510050	0.0075	0.0085	0.0072	0.0076	0.007955382	1979	157437	178	0.0076	-0.044995175	0.247848998	0.001474959	-0.052533404	-0.000422232	286.4859333	0.246738574
2019/5/31	ETF期权	50ETF	2.2	2019/9/25	510050	0.008	0.0083	0.0065	0.0072	0.007198155	1409	101422	42	0.0072	-0.046779193	0.257559322	0.001510326	-0.054284658	-0.000433877	286.2315319	0.242198315
2019/6/3	ETF期权	50ETF	2.2	2019/9/25	510050	0.0067	0.0076	0.0056	0.0068	0.006483227	2510	162729	16	0.0068	-0.039319125	0.23014634	0.001301275	-0.047164583	-0.000355676	285.905357	0.246006274
2019/6/4	ETF期权	50ETF	2.2	2019/9/25	510050	0.0069	0.0076	0.0067	0.0073	0.007228219	1134	81968	159	0.0073	-0.04317641	0.250927213	0.001388491	-0.05077545	-0.00038482	284.2916073	0.244981055
2019/6/5	ETF期权	50ETF	2.2	2019/9/25	510050	0.0062	0.0073	0.006	0.0067	0.006672206	5476	365370	-1455	0.0067	-0.043612283	0.254463728	0.001391542	-0.05136167	-0.000384635	284.2132391	0.240440796
2019/6/6	ETF期权	50ETF	2.2	2019/9/25	510050	0.0066	0.0077	0.0066	0.0074	0.007079944	5405	382671	1762	0.0074	-0.046757939	0.271634204	0.001457617	-0.054286076	-0.000406746	268.3281929	0.241905396
2019/6/10	ETF期权	50ETF	2.2	2019/9/25	510050	0.0068	0.008	0.0056	0.006	0.006086913	3660	222781	-75	0.006	-0.0353341	0.218293187	0.001154874	-0.044664176	-0.000299071	256.2701745	0.246885034
2019/6/11	ETF期权	50ETF	2.2	2019/9/25	510050	0.0056	0.0062	0.0042	0.0042	0.004886643	6042	295251	1178	0.0042	-0.019440768	0.132432059	0.000716777	-0.027509394	-0.000166571	260.8963619	0.254061572
2019/6/12	ETF期权	50ETF	2.2	2019/9/25	510050	0.0045	0.0046	0.0041	0.0042	0.004266521	914	38996	183	0.0042	-0.020661194	0.14070575	0.000747996	-0.028970504	-0.000174634	259.9907032	0.251718213
2019/6/13	ETF期权	50ETF	2.2	2019/9/25	510050	0.0044	0.0049	0.0039	0.0039	0.004248039	1657	70390	431	0.0039	-0.021035063	0.143875368	0.000754195	-0.029471018	-0.000175701	259.7606862	0.247910254
2019/6/14	ETF期权	50ETF	2.2	2019/9/25	510050	0.0036	0.0039	0.0036	0.0036	0.003704113	2310	85565	616	0.0036	-0.021468721	0.147375782	0.000761988	-0.030062501	-0.0001772	259.9306462	0.244102295
2019/6/17	ETF期权	50ETF	2.2	2019/9/25	510050	0.0035	0.0036	0.0032	0.0032	0.003320819	2344	77840	1581	0.0032	-0.01893316	0.13398535	0.000677084	-0.027579728	-0.000151992	259.7345423	0.245273975
2019/6/18	ETF期权	50ETF	2.2	2019/9/25	510050	0.0031	0.0035	0.0029	0.0029	0.003127364	2379	74400	1266	0.0029	-0.016797782	0.121563868	0.000610706	-0.025061776	-0.000133882	257.9161777	0.245566895
2019/6/19	ETF期权	50ETF	2.2	2019/9/25	510050	0.0022	0.0029	0.0022	0.0025	0.00258099	2930	75623	318	0.0025	-0.010697818	0.082678002	0.00041831	-0.017129461	-8.55E-05	257.6960018	0.253768652
2019/6/20	ETF期权	50ETF	2.2	2019/9/25	510050	0.0024	0.0027	0.0022	0.0024	0.002416634	4629	111866	481	0.0024	-0.006176756	0.047740846	0.000265671	-0.011483788	-5.05E-05	257.6390804	0.279545605
2019/6/21	ETF期权	50ETF	2.2	2019/9/25	510050	0.0022	0.003	0.0022	0.0028	0.002675306	3997	106932	2373	0.0028	-0.006033498	0.047015095	0.000258772	-0.011311905	-4.88E-05	260.6447052	0.287161523
2019/6/24	ETF期权	50ETF	2.2	2019/9/25	510050	0.0026	0.0036	0.0024	0.0031	0.002891136	2685	77627	643	0.0031	-0.005157755	0.041500501	0.000222029	-0.010026156	-4.04E-05	258.1256504	0.297999561
2019/6/25	ETF期权	50ETF	2.2	2019/9/25	510050	0.0028	0.0036	0.0027	0.0032	0.003133233	2654	83156	461	0.0032	-0.007179288	0.05630192	0.000292023	-0.013409874	-5.50E-05	258.5101299	0.289797803
2019/6/26	ETF期权	50ETF	2.2	2019/9/25	510050	0.0032	0.0033	0.0028	0.0031	0.003002196	6467	194152	1922	0.0031	-0.005859889	0.048744639	0.000242428	-0.010933792	-4.43E-05	256.3125355	0.288919043
2019/6/27	ETF期权	50ETF	2.2	2019/9/25	510050	0.0031	0.0034	0.0029	0.0029	0.003106483	10535	327268	8776	0.0029	-0.004191573	0.035731569	0.000181268	-0.008319167	-3.17E-05	251.2034738	0.29829248
2019/6/28	ETF期权	50ETF	2.2	2019/9/25	510050	0.003	0.0031	0.0027	0.0029	0.002819934	3662	103266	2820	0.0029	-0.004029141	0.03484084	0.000173818	-0.008042371	-3.01E-05	240.7804212	0.29917124
2019/7/1	ETF期权	50ETF	2.2	2019/9/25	510050	0.0027	0.0033	0.0024	0.003	0.002854992	4417	126105	1264	0.003	-0.002205592	0.019808094	0.000101566	-0.004959715	-1.62E-05	240.6035203	0.324655273
2019/7/2	ETF期权	50ETF	2.2	2019/9/25	510050	0.0029	0.0029	0.0026	0.0028	0.00278015	1471	40896	30	0.0028	-0.001442827	0.014201027	6.85E-05	-0.003235309	-1.05E-05	240.5719247	0.322018994
2019/7/3	ETF期权	50ETF	2.2	2019/9/25	510050	0.0035	0.0037	0.0024	0.0026	0.002629081	1936	50899	687	0.0026	-0.00167994	0.016723252	7.75E-05	-0.003668553	-1.19E-05	238.5263129	0.312352637
2019/7/4	ETF期权	50ETF	2.2	2019/9/25	510050	0.0025	0.0027	0.0024	0.0026	0.00250858	2774	69588	1419	0.0026	-0.00179147	0.017891222	8.14E-05	-0.003901721	-1.25E-05	238.486917	0.310888037
2019/7/5	ETF期权	50ETF	2.2	2019/9/25	510050	0.0025	0.0026	0.0025	0.0026	0.002567956	181	4648	96	0.0026	-0.001474045	0.015062922	6.80E-05	-0.003289787	-1.02E-05	237.6381793	0.315867676
2019/7/8	ETF期权	50ETF	2.2	2019/9/25	510050	0.0028	0.003	0.0026	0.0026	0.002730604	2052	56032	1154	0.0028	-0.002638208	0.026281561	0.000110833	-0.005626953	-1.72E-05	237.0576088	0.303272119
2019/7/9	ETF期权	50ETF	2.2	2019/9/25	510050	0.0026	0.0029	0.0026	0.0029	0.002710296	2535	68706	939	0.0029	-0.002776862	0.027786913	0.000114947	-0.005911696	-1.79E-05	238.7926701	0.307372998
2019/7/10	ETF期权	50ETF	2.2	2019/9/25	510050	0.0027	0.0028	0.0027	0.0028	0.002722742	299	8141	18	0.0028	-0.00269425	0.027238323	0.00011106	-0.005789759	-1.71E-05	238.5391314	0.307080078
2019/7/11	ETF期权	50ETF	2.2	2019/9/25	510050	0.0026	0.0028	0.0026	0.0028	0.002705594	1448	39177	731	0.0029	-0.002294919	0.023646999	9.58E-05	-0.005058299	-1.44E-05	238.4251734	0.312059717
2019/7/12	ETF期权	50ETF	2.2	2019/9/25	510050	0.0025	0.003	0.0025	0.0029	0.002826117	1030	29109	238	0.0029	-0.00158343	0.017045381	6.84E-05	-0.00362591	-9.86E-06	235.4993084	0.322018994
2019/7/15	ETF期权	50ETF	2.2	2019/9/25	510050	0.0025	0.003	0.0025	0.0028	0.002881564	3748	108001	2661	0.0028	-0.001328104	0.014825012	5.71E-05	-0.003153922	-7.93E-06	235.4050529	0.326412793
2019/7/16	ETF期权	50ETF	2.2	2019/9/25	510050	0.0028	0.0029	0.0024	0.0027	0.00263487	846	22291	-348	0.0027	-0.001526995	0.017032053	6.40E-05	-0.003591438	-8.94E-06	235.3435947	0.321726074
2019/7/17	ETF期权	50ETF	2.2	2019/9/25	510050	0.0027	0.0029	0.0027	0.0028	0.002822707	687	19392	187	0.0028	-0.000970881	0.011957663	4.18E-05	-0.002264379	-5.57E-06	234.5700198	0.322897754
2019/7/18	ETF期权	50ETF	2.2	2019/9/25	510050	0.0028	0.003	0.0026	0.0027	0.002777647	255	7083	47	0.0027	-0.001037348	0.012846714	4.40E-05	-0.002414715	-5.85E-06	233.3071829	0.319675635
2019/7/19	ETF期权	50ETF	2.2	2019/9/25	510050	0.0028	0.0028	0.0026	0.0027	0.002699727	1831	49432	584	0.0026	-0.000664264	0.008430993	2.93E-05	-0.001646712	-3.73E-06	232.6511992	0.333149951
2019/7/22	ETF期权	50ETF	2.2	2019/9/25	510050	0.0027	0.0029	0.0026	0.0026	0.002659685	1017	27049	267	0.0026	-0.000621112	0.008201368	2.68E-05	-0.001565458	-3.31E-06	232.6154767	0.332857031
2019/7/23	ETF期权	50ETF	2.2	2019/9/25	510050	0.0026	0.0026	0.0024	0.0024	0.002471201	816	20165	336	0.0024	-0.000442759	0.006170882	1.94E-05	-0.001130007	-2.32E-06	232.8839821	0.331685352
2019/7/24	ETF期权	50ETF	2.2	2019/9/25	510050	0.0024	0.0024	0.0021	0.0022	0.002133395	1629	34753	-184	0.0021	-0.000283027	0.004045264	1.28E-05	-0.000763327	-1.47E-06	230.6060024	0.33930127
2019/7/25	ETF期权	50ETF	2.2	2019/9/25	510050	0.0018	0.0021	0.0015	0.0015	0.001789342	4907	87803	909	0.0015	-0.000185691	0.002720192	8.67E-06	-0.000525882	-9.60E-07	241.6244275	0.331685352
2019/7/26	ETF期权	50ETF	2.2	2019/9/25	510050	0.0016	0.0017	0.0014	0.0015	0.001505723	3180	47882	891	0.0015	-0.000133323	0.002030038	6.32E-06	-0.000385355	-6.79E-07	237.0714161	0.33578623
2019/7/29	ETF期权	50ETF	2.2	2019/9/25	510050	0.0016	0.0018	0.0015	0.0016	0.001651401	3961	65412	-1651	0.0016	-9.15E-05	0.001472758	4.32E-06	-0.000275562	-4.41E-07	234.4243658	0.346331348
2019/7/30	ETF期权	50ETF	2.2	2019/9/25	510050	0.0017	0.0017	0.0011	0.0015	0.001630048	4616	75243	383	0.0014	-6.02E-05	0.001007147	2.90E-06	-0.000186624	-2.86E-07	193.7721981	0.349260547
2019/7/31	ETF期权	50ETF	2.2	2019/9/25	510050	0.0015	0.0017	0.0014	0.0015	0.001555783	1660	25826	304	0.0014	-9.00E-05	0.001491809	4.16E-06	-0.000273558	-4.17E-07	186.9792689	0.343402148
2019/8/1	ETF期权	50ETF	2.2	2019/9/25	510050	0.0017	0.0021	0.0014	0.0015	0.00147743	895	13223	-141	0.0014	-1.50E-05	0.000318094	7.51E-07	-4.42E-05	-6.75E-08	180.352854	0.33812959
2019/8/2	ETF期权	50ETF	2.2	2019/9/25	510050	0.0017	0.0019	0.0014	0.0014	0.001542481	2813	43390	483	0.0014	-4.30E-05	0.000869783	1.99E-06	-0.00012079	-1.87E-07	160.4561997	0.322311914
2019/8/5	ETF期权	50ETF	2.2	2019/9/25	510050	0.0013	0.0016	0.0013	0.0016	0.001451429	2940	42672	-969	0.0016	-9.43E-05	0.001900521	3.97E-06	-0.000257227	-3.80E-07	161.1077602	0.318211035
2019/8/6	ETF期权	50ETF	2.2	2019/9/25	510050	0.0018	0.0036	0.0018	0.0029	0.002975588	11908	354333	-145	0.0029	-0.000109836	0.002289084	4.49E-06	-0.00028979	-4.29E-07	204.9193226	0.33900835
2019/8/7	ETF期权	50ETF	2.2	2019/9/25	510050	0.0025	0.0028	0.0015	0.0028	0.002466547	3073	75797	556	0.0028	-4.49E-05	0.001073484	1.90E-06	-0.000116935	-1.71E-07	204.4056312	0.334614551
2019/8/8	ETF期权	50ETF	2.2	2019/9/25	510050	0.0025	0.0026	0.0019	0.0022	0.002270958	3099	70377	539	0.0022	-1.12E-05	0.000289362	5.11E-07	-3.17E-05	-4.21E-08	204.4654039	0.341644629
2019/8/9	ETF期权	50ETF	2.2	2019/9/25	510050	0.002	0.0031	0.0019	0.0021	0.002218776	1470	32616	499	0.0021	-1.19E-05	0.000311631	5.33E-07	-3.37E-05	-4.37E-08	202.5550213	0.33812959
2019/8/12	ETF期权	50ETF	2.2	2019/9/25	510050	0.0019	0.002	0.0015	0.0018	0.001717764	3980	68367	-979	0.0018	-1.27E-06	3.76E-05	6.18E-08	-4.14E-06	-4.43E-09	200.4791202	0.360977344
2019/8/13	ETF期权	50ETF	2.2	2019/9/25	510050	0.0015	0.0019	0.0015	0.0019	0.001741746	527	9179	206	0.0019	-2.76E-06	8.07E-05	1.28E-07	-8.84E-06	-9.36E-09	200.8304111	0.356290625
2019/8/14	ETF期权	50ETF	2.2	2019/9/25	510050	0.0014	0.0017	0.0012	0.0016	0.001626126	2775	45125	-1269	0.0016	-8.86E-07	2.81E-05	4.25E-08	-2.93E-06	-2.94E-09	202.7919503	0.355118945
2019/8/15	ETF期权	50ETF	2.2	2019/9/25	510050	0.0018	0.0027	0.0015	0.0016	0.001558509	2227	34708	-1223	0.0016	-4.21E-07	1.39E-05	2.06E-08	-1.45E-06	-1.36E-09	202.7100284	0.363320703
2019/8/16	ETF期权	50ETF	2.2	2019/9/25	510050	0.0017	0.0017	0.0013	0.0013	0.00146265	1668	24397	560	0.0013	-1.87E-07	6.45E-06	9.34E-09	-6.70E-07	-5.94E-10	205.7250107	0.362149023
2019/8/19	ETF期权	50ETF	2.2	2019/9/25	510050	0.001	0.0015	0.001	0.0014	0.001304637	3731	48676	-1730	0.0013	-1.62E-08	6.01E-07	8.59E-10	-6.85E-08	-4.85E-11	206.8338322	0.403157813
2019/8/20	ETF期权	50ETF	2.2	2019/9/25	510050	0.0013	0.0014	0.0012	0.0013	0.001321519	395	5220	-154	0.0013	-8.93E-09	3.46E-07	4.74E-10	-3.83E-08	-2.59E-11	206.5784364	0.401986133
