,SEC_NAME,SEC_ENGLISHNAME,TRADE_CODE,LASTTRADE_DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OI,VWAP
2018-09-04,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-05,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-06,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-07,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-10,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-11,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-12,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-13,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-14,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-17,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-18,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-19,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-20,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-21,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-25,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-26,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-27,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-09-28,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-08,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-09,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-10,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-11,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-12,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-15,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-16,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-17,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-18,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-19,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-22,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-23,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-24,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-25,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-26,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-29,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-30,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-10-31,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-01,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-02,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-05,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-06,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-07,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-08,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-09,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-12,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-13,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-14,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-15,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-16,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-19,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-20,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-21,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-22,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-23,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-26,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-27,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-28,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-29,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-11-30,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-03,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-04,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-05,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-06,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-07,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-10,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-11,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-12,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-13,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-14,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-17,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-18,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-19,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-20,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-21,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
2018-12-24,IF1909,CSI 300 Index Futures1909,IF1909,2019-09-20,,,,,,,
